name,year,subtext,duration,genres,director,stars
Green Book,2018,PG-13, 2h 10m,Drama & Comedy & Music,Peter Farrelly,Viggo Mortensen & Mahershala Ali & Linda Cardellini & Dimiter D. Marinov & Mike Hatton & Iqbal Theba & Sebastian Maniscalco & Von Lewis & P. J. Byrne & Montrel Miller & Tom Virtue & Don Stark & Brian Stepanek & Dennis W. Hall & Randal Gonzalez & Maggie Nixon & Brian Distance & Don DiPetta & Frank Vallelonga & Nick Vallelonga & Suehyla El-Attar & Jenna Laurenzo & Johnny Williams & Joe Cortese & David Kallaway & Paul Sloan & Anthony Mangano & David An & Ninja N. Devoe & Jim Klock & Daniel Greene & Martin Bats Bradford & Tracy Brotherton & William E. Harris & Geraldine Singer & Rebecca Chulew & Emily LaGroue & Ricky Muse & Leslie Castay & Jon Michael Davis & Harrison Stone & Gralen Bryant Banks & Brett Beoubay & Quinn Duffy & Mike Young & Kenneth Israel & Brian Hayes Currie & Jeffrey Klemmer & Kate Kuen & Elton LeBlanc & Craig DiFrancia & Cynthia LeBlanc & Shane Partlow & Jared Drennan
Deadpool,2016,R, 1h 48m,Action & Adventure & Comedy,Tim Miller,Ryan Reynolds & Morena Baccarin & Ed Skrein & T.J. Miller & Gina Carano & Brianna Hildebrand & Stefan Kapičić & Andre Tricoteux & Leslie Uggams & Karan Soni & Jed Rees & Stan Lee & Rob Liefeld & Rob Hayter & Randal Reeder & Isaac C. Singleton Jr. & Michael Benyaer & Style Dayne & Kyle Cassie & Taylor Hickson & Ayzee & Naika Toussaint & Justyn Shippelt & Donna Yamamoto & Hugh Scott & Cindy Piper & Emily Haine & Aatash Amir & Chad Riley & Darcey Johnson & Kyle Rideout & Jason William Day & Ben Wilkinson & Rachel Sheen & Paul Lazenby & Heather Ashley Chase & Paul Belsito & Fabiola Colmenero & Victoria De Mare & David Hardware & Matthew Hoglie & Tony Chris Kazoleas & Greg LaSalle & David Longworth & Michael Neumeyer & Sean Quan & Anthony J. Sacco & Olesia Shewchuk & Dan Zachary & Maggie Baird & David Berón & Richard Epcar & Lex Lang & David Michie & Ben Pronsky & Matthew Wolf
Detective Conan: The Fist of Blue Sapphire,2019,not available, -,Animation & Action & Drama & Mystery & Comedy,Tomoka Nagaoka,Minami Takayama & Wakana Yamazaki & Rikiya Koyama & Kappei Yamaguchi & Megumi Hayashibara & Yukiko Iwai & Ikue Otani & Wataru Takagi & Kenichi Ogata
The Upside,2019,PG-13, 2h 3m,Comedy & Drama,Neil Burger,Kevin Hart & Bryan Cranston & Nicole Kidman & Julianna Margulies & Aja Naomi King & Golshifteh Farahani & Genevieve Angelson & Suzanne Savoy & Rachel Alana Handler & Junnie Lopez & Pia Mechler & Tate Donovan & Amara Karan & Jahi Di'Allo Winston & Ursula Triplett & Mark Kochanowicz & Annie Pisapia & Phillip Chorba & Alisha Poland & Julie Stackhouse & Lyman Chen & Gary Ayash & Jennifer Butler & Laura Hart & Jeffrey Mowery & Rachel Christopher & Madeleine Woolner & Charmar Jeter & Matthew D'Arcy & Brian Gallagher & Charles W Harris III & Nikki Corinne Thomas & Gemma McIlhenny
The Lego Movie 2: The Second Part,2019,PG, 1h 46m,Action & Adventure & Animation & Comedy & Family & Science Fiction & Fantasy,Mike Mitchell,Chris Pratt & Elizabeth Banks & Will Arnett & Tiffany Haddish & Stephanie Beatriz & Charlie Day & Alison Brie & Nick Offerman & Maya Rudolph & Jadon Sand & Graham Miller & Brooklynn Prince & Will Ferrell & Richard Ayoade & Channing Tatum & Jonah Hill & Cobie Smulders & Jason Momoa & Ike Barinholtz & Ralph Fiennes & Will Forte & Bruce Willis & Ben Schwartz & Jimmy O. Yang & Noel Fielding & Jorma Taccone & Gary Payton & Sheryl Swoopes & Trisha Gum & Todd Hansen & Doug Nicholas & Liam Knight & Emmett Mitchell & Sawyer Jones & Cora Miller & Ollie Mitchell & Mike Mitchell & Christopher Miller & Margot Rubin & Emily Nordwind & Chris McKay & Ryan Halprin & Lauren White & Lauren White
Love of My Life,2017,not available, 1h 46m,Drama & Comedy,Joan Carr-Wiggin,Anna Chancellor & John Hannah & Hermione Norris & James Fleet & Greg Wise
Men in Black,1997,PG-13, 1h 38m,Action & Adventure & Comedy & Science Fiction,Barry Sonnenfeld,Tommy Lee Jones & Will Smith & Linda Fiorentino & Vincent D'Onofrio & Rip Torn & Tony Shalhoub & Siobhan Fallon Hogan & Mike Nussbaum & Jon Gries & Sergio Calderón & Carel Struycken & Fredric Lehne & Richard Hamilton & Kent Faulcon & John Alexander & Keith Campbell & David Cross & Verne Troyer
What Men Want,2019,R, 1h 57m,Comedy & Fantasy & Romance,Adam Shankman,Taraji P. Henson & Tracy Morgan & Aldis Hodge & Wendi McLendon-Covey & Kristen Ledlow & Josh Brener & Kellan Lutz & Mathias Alvarez & Chris Witaske & Max Greenfield & Paul Brian Johnson & Tamala Jones & Phoebe Robinson & Brian Bosworth & Erykah Badu & Shaquille O'Neal & Mark Cuban & Richard Roundtree & Shane Paul McGhie & Jason Jones & Roshawn Franklin & Lisa Leslie & Grant Hill & Pete Davidson & Mystie Smith & David Dunston & Marcus Lewis
Zootopia,2016,PG, 1h 49m,Animation & Adventure & Family & Comedy,Rich Moore & Byron Howard,Ginnifer Goodwin & Jason Bateman & Shakira & Idris Elba & Octavia Spencer & J.K. Simmons & Alan Tudyk & Jenny Slate & Bonnie Hunt & Don Lake & Tom Lister Jr. & Tommy Chong & Kristen Bell & Katie Lowes & Josh Dallas & John DiMaggio & Nate Torrence & Maurice LaMarche & Kath Soucie & Mark Smith & Rich Moore & Byron Howard & Jared Bush & Della Saba & Phil Johnston & Gita Reddy & Jesse Corti & Leah Latham & Peter Mansbridge & Josie Trinidad & John Lavelle & Evelyn Wilson Bresee & Hewitt Bush & Jill Cordes & Madeleine Curry & Terri Douglas & Melissa Goodwin Shepherd & Zach King & Dave Kohut & Raymond S. Persi & Fuschia! & Jeremy Milton & Pace Paulsen & Fabienne Rawley & Bradford Simonsen & Claire K. Smith & Jackson Stein & David A. Thibodeau & Hannah G. Williams & Vassos Alexander & Ricardo Boechat & David Campbell & Koura Kazumasa & Daveed Diggs
Ted 2,2015,R, 1h 55m,Comedy,Seth MacFarlane,Mark Wahlberg & Seth MacFarlane & Amanda Seyfried & Jessica Barth & Giovanni Ribisi & Morgan Freeman & Sam Jones & Patrick Warburton & Michael Dorn & Bill Smitrovich & John Slattery & Cocoa Brown & John Carroll Lynch & Ron Canada & Liam Neeson & Dennis Haysbert & Patrick Stewart & Tom Brady & Jay Leno & Jimmy Kimmel & Kate McKinnon & Bobby Moynihan & Taran Killam & Sebastian Arcelus & Jay Patterson & Steve Callaghan & Nana Visitor & Maggie Geha & Jessica Szohr & Craig Ricci Shaynak & Lexi Atkins & Dustin Ybarra & Julius Sharpe & Michael Steven Costello & Barry J. Ratcliffe & Tina Grimm & John Franchi & Claudia Zielke & Vincent M. Biscione & Alexandra Creteau & Jack Knight & Lauren Sánchez & William Xifaras & Curtis Stigers & Liz Morgan & Alec Sulkin & Ralph Garman & Vanessa Vander Pluym & J. Mark Donaldson & Becki Dennis & Michael Trisler & Ryan Hanna & David Goldman & Ronobir Lahiri & Nefetari Spencer & Jeffrey Stubblefield & Wellesley Wild & Lenny Clarke & Chris Neville & Rachael MacFarlane & Christy Scott Cashman & Josiah Blount & John Viener & Kate B. O'Brien & Billy Concha & Tara Strong & Tiffany & Bart A. Piscitello Jr. & Ted Jessup & Chris Regan & Joseph J. Micucci & Matthew J. Walters & Aaron Zell & Scott Wahle & Luke Adams & Brittany O'Connor & Rose Wakesho & Stanis Krista Ames & Kt Baldassaro & Laura-Elise Barrett & Amanda Blattner & Anissa Borrego & Jodie Brunelle & Roseny Carrero & Chia Chen & Lexie Contursi & Chassidy Cox & Nea Dune & Diana Emuge & Michelle Fonseca & Enku Gubaie & London Hall & Isabel Wagner & Sandra Yap & Isabella Sanchez & Sagan Rose & Elizabeth Pollard & Kim Mulhauser & Olivia McCarthy & Katie McCabe & Sophie Mazzaro & Anna Maiche & Kandiss Lewis & Toi'ya Leatherwood & Julie Schmid
