name,year,subtext,duration,genres,director,stars
Le Brio,2017,U, 1h 35m,Comedy & Drama,Yvan Attal,Daniel Auteuil & Camélia Jordana & Yasin Houicha & Nozha Khouadra & Nicolas Vaude & Jean-Baptiste Lafarge
Nappily Ever After,2018,not available, 1h 40m,Comedy & Romance,Haifaa Al-Mansour,Sanaa Lathan & Ricky Whittle & Ernie Hudson & Camille Guaty & Lyriq Bent & Lynn Whitfield & Catherine Dyer & Brittany S. Hall & Racquel Bianca John & Tracey Bonner & Jen Harper & Danielle Lyn & Kiley Casciano & Maurie A. Chandler & Bo Yokely & Benjamin Weaver & Kai N. Ture & George Lott & Austin Chunn & Shatoya McClintock & Josephine Lundy & Carolann Utley & Niles Finklea & Brian Kayode-Patrick Johnson & Windi Washington & Parker Amrani & Cedric Greenway & Jalana Kasambira & Julie Ann Fay & Greg Puckett & Jess Marie Carr & Vanessa Cozart & Audrey Reid Couch & Amethyst Davis & Daria Johns & Ashley S. Evans & Ashleigh Breanne Curry & Adam Niemann & Jaxson Hunt & Ava Love & Travon Mcfarland & Janice Wesley & Ashlyn Love & Nathan Hunt & Amber E. Walker & Emelita T. Gonzalez & Anthony B. Harris & Aleia Kristene & Emily Riney Maher
Hall Pass,2011,R, 1h 45m,Comedy & Romance,Peter Farrelly & Bobby Farrelly,Owen Wilson & Jason Sudeikis & Jenna Fischer & Christina Applegate & Nicky Whelan & Stephen Merchant & Bruce Thomas & Alexandra Daddario & Lauren Bowles & Richard Jenkins & Joy Behar & Daniel Greene & Tom Choi & Bo Burnham
Yogi Bear,2010,PG, 1h 20m,Comedy & Family & Animation & Adventure,Eric Brevig,Dan Aykroyd & Justin Timberlake & Anna Faris & Tom Cavanagh & Christine Taylor & T.J. Miller & Nate Corddry & Andrew Daly & David Stott & Greg Johnson & Patricia Aldersley & Tim McLachlan & Josh Robert Thompson & Hayden Vernon & Barry Duffield & Michael Morris & William Wallace & Suzana Srpek
John Tucker Must Die,2006,PG-13, 1h 27m,Comedy & Romance,Betty Thomas,Jesse Metcalfe & Brittany Snow & Ashanti & Sophia Bush & Arielle Kebbel & Penn Badgley & Jenny McCarthy & Fatso-Fasano & Patricia Drake & Taylor Kitsch & Amber Borycki & Meghan Ory & Nicole LaPlaca & Nicole Fraissinet & Samantha McLeod & Woody Jeffreys & Kevin McNulty & Amanda Crew & Stuart Cowan
It Boy,2013,PG-13, 1h 32m,Comedy,David Moreau,Virginie Efira & Pierre Niney & Gilles Cohen & Amélie Glenn & Charles Berling & Michaël Abiteboul & Camille Japy & Diana Stewart & Camille Pélicier & Jenna Azoulay & Louis-Do de Lencquesaing & Camille Chalons & Aude Pépin & Arthur Mazet & Sophie-Marie Larrouy & Marcella Sbraletta & Xavier Lemaître & Pierre Khorsand & Hervé P. Gustave & Ludovic Pinette & Camille Andrey-David & Sylvia Macaire & Angélique Pleau & Nahla Diagouraga & Benjamin Rolland & Blanche Gardin & Patricia Malvoisin & Charles-Roger Bour & Luc Le Castrain & Lucie Boujenah & Belotti Soizic & Scali Delpeyrat & Martin Defives & Augustin Bonhomme & Calixte Broisin-Doutaz & Alexandre Brik & Julia Dorval & Robert Dauney & Johanna Seror & Luis Inacio & François Civil & Sébastien Loesener & Alexandre Padilha de Azevedo
Dragons Forever,1988,R, 1h 42m,Action & Comedy & Romance,Sammo Hung,Jackie Chan & Sammo Hung & Yuen Biao & Pauline Yeung & Deannie Yip & Yuen Wah & Benny Urquidez & Crystal Kwok & Wu Fung & Stanley Fung & Roy Chiao & James Tien & Phillip Ko Fei & Tai Bo & Billy Chow & Wai Shum & Lo Lieh & Lau Kar-Wing & Fung Hak-On & Chung Fat & Lam Wai & Chin Ka-Lok & Dick Wei & Peter Chan Lung & Shing Fui-On & Danny Chow & Benny Lai Keung-Kuen & Rocky Lai & Chen Chi-Hwa & Wu Ma & James Ha
Summer '03,2018,not available, 1h 42m,Comedy,Becca Gleason,Joey King & Jack Kilmer & Andrea Savage & Paul Scheer & Erin Darke & Stephen Ruffin & Kelly Lamor Wilson & Logan Medina & June Squibb & Elise DuQuette
All About Steve,2009,PG-13, 1h 39m,Comedy,Phil Traill,Sandra Bullock & Thomas Haden Church & Bradley Cooper & Ken Jeong & DJ Qualls & Howard Hesseman & Keith David & Beth Grant & Katy Mixon & M.C. Gainey & Holmes Osborne & Delaney Hamilton & Jason Jones & Carlos Gómez & George Sharperson & Luenell & Jackie Johnson & Lucy Davis & Hari Kondabolu
Vegas Vacation,1997,PG, 1h 33m,Comedy,Stephen Kessler,Chevy Chase & Beverly D'Angelo & Randy Quaid & Ethan Embry & Marisol Nichols & Miriam Flynn & Shae D'Lyn & Wayne Newton & Wallace Shawn & Sid Caesar & Christie Brinkley & Juliette Brewer & Jerry Weintraub & Larry Hankin & Corinna Harney
Smokey and the Bandit II,1980,PG, 1h 40m,Action & Comedy,Hal Needham,Burt Reynolds & Jackie Gleason & Jerry Reed & Dom DeLuise & Paul Williams & Sally Field & Pat McCormick & David Huddleston & Mike Henry & John Anderson & Brenda Lee & Mel Tillis & Jerry Lester
"Juliet, Naked",2018,not available, 1h 37m,Comedy & Romance,Jesse Peretz,Rose Byrne & Ethan Hawke & Chris O'Dowd & Azhy Robertson & Lily Brazier & Megan Dodds & Ayoola Smart & Enzo Cilenti & Pamela Lyne & Denise Gough & Phil Davis & Kitty O'Beirne & Alex Clatworthy & Ko Iwagami & Lily Newmark & Eleanor Matsuura & Daniel Shaw & Frank Owen & Florence Keith-Roach & Mage Rodrigo & Fehinti Balogun & Thomas Gray & Brodie Petrie & Cal Petrie & Nina Sosanya & Matt King & Carol Anderson & Georgina Bevan & Anabella Galbally & Florence Galbally & Emma Paetz & Toby Grimes & Yeliz Simsek & Terry Sach & Ninette Finch & Douglas Singer & Ronnie Evans & Samuel Saphir & Florence Stephenson & Charlotte Bottomley & Paul Jackson & Lee Byford & Laura Camberley & Janine Catterall & Michael Chapman & Andrew Dunkelberger & Begona F. Martin & Sascha Panknin & Mike Pinfield & Karol Steele & Johanna Thea & Jimmy O. Yang
Billy Elliot,2000,PG-13, 1h 50m,Drama & Comedy & Music,Stephen Daldry,Jamie Bell & Julie Walters & Jean Heywood & Jamie Draven & Gary Lewis & Stephen Mangan & Patrick Malahide & Stuart Wells & Tracey Wilkinson & Nicola Blackwell & Janine Birkett & Joe Renton & Colin MacLachlan & Trevor Fox & Charlie Hardwick & Barbara Leigh-Hunt & Zoë Bell
Herbie Rides Again,1974,G, 1h 28m,Romance & Comedy & Family & Fantasy,Robert Stevenson,Helen Hayes & Ken Berry & Stefanie Powers & John McIntire & Keenan Wynn & Chuck McCann & Huntz Hall & Ivor Barry & Dan Tobin & Vito Scotti & Raymond Bailey & Liam Dunn & Elaine Devry & Richard X. Slattery & Hank Jones & Rod McCary & Don Pedro Colley & Larry J. Blake & Iggie Wolfington & Jack Manning & Hal Baylor & Herb Vigran & James Almanzar & Candy Candido & Edward Ashley & Norman Grabowski & Hal Williams & Irwin Charone & Gail Bonney & Burt Mustin & John Myhers & John Stephenson & Robert Carson & Arthur Space & John Hubbard & Fritz Feld & Alvy Moore & Karl Lukas & Paul Micale & John Zaremba & Alan Carney & Ken Sansom & Maurice Marsac & Martin Braddock & David Mooney & Frank Baker & Alex Ball & Spencer Chan & Dorothy Konrad & Joseph V. Perry & Lomax Study
Lesbian Vampire Killers,2009,R, 1h 26m,Horror & Comedy,Phil Claydon,James Corden & Mathew Horne & Paul McGann & MyAnna Buring & Vera Filatova & Silvia Colloca & Lucy Gaskell & Louise Dylan & Ashley Mulheron & Tiffany Mulheron & Emer Kenny & Emma Clifford & Travis Oliver & Susie Amy & John Pierce Jones
What's Your Number?,2011,R, 1h 46m,Comedy & Romance,Mark Mylod,Chris Evans & Anna Faris & Martin Freeman & Chris Pratt & Ari Graynor & Blythe Danner & Ed Begley Jr. & Dave Annable & Joel McHale & Zachary Quinto & Eliza Coupe & Mike Vogel & Andy Samberg & Oliver Jackson-Cohen & Thomas Lennon & Anthony Mackie & Jackson Nicoll & Ivana Miličević & Heather Burns & Kate Simses & Tika Sumpter & Denise Vasi & Jason Bowen & Tyler Peck & Jacquelyn Doucette & Sondra James & Zachary Quinto & Nadine Jacobson & Colby Parsons & Aziz Ansari & Ed Jewett & Lonnie Farmer & Dale Place & Bronwen Booth & John Franchi & Dan Marshall & Stephanie Atkinson
Blazing Saddles,1974,R, 1h 33m,Western & Comedy,Mel Brooks,Cleavon Little & Gene Wilder & Harvey Korman & Slim Pickens & Madeline Kahn & Mel Brooks & Dom DeLuise & Liam Dunn & George Furth & Burton Gilliam & John Hillerman & Alex Karras & David Huddleston & Carol Arthur & Richard Collier & Charles McGregor & Don Megowan & Count Basie & Karl Lukas & Robyn Hilton & Jack Starrett & Rodney Allen Rippy & Robert Ridgely & Anne Bancroft & Ralph Manza
Gintama,2017,not available, 2h 10m,Action & Adventure & Comedy & Science Fiction,Yuichi Fukuda,Shun Oguri & Masami Nagasawa & Yuya Yagira & Ryo Yoshizawa & Takayuki Yamada & Kouichi Yamadera & Kanna Hashimoto & Masaki Okada & Masaki Suda & Nanao & Akari Hayami & Hirofumi Arai & Jiro Sato & Tsuyoshi Domoto & Tsuyoshi Muro & Ken Yasuda & Seika Furuhata & Kankuro Nakamura & Yuko Nagata & Mikako Takahashi & Kyôsuke Yabe & Tomoharu Hasegawa & Wataru Ichinose & Seiji Rokkaku & Kôji Fujiyoshi & Kurumi Shimizu & Kotaro Shiga & Teruyuki Tanzawa & Youta Tanaka & Itaru Yamamoto & Tôma Ônishi & Toshiki Iwasawa & Soushi Ogiwara & Takako Akasaka & Azuki Moeno
Welcome to the Sticks,2008,not available, 1h 46m,Comedy,Dany Boon & Nicolas Guy,Kad Merad & Dany Boon & Zoé Félix & Lorenzo Ausilia-Foret & Anne Marivin & Philippe Duquesne & Guy Lecluyse & Line Renaud & Michel Galabru & Stéphane Freiss & Patrick Bosso & Jérôme Commandeur & Christophe Rossignon & Zinedine Soualem & Jenny Clève
Airheads,1994,PG-13, 1h 32m,Comedy & Crime & Music,Michael Lehmann,Brendan Fraser & Steve Buscemi & Adam Sandler & Chris Farley & Judd Nelson & Michael McKean & Amy Locane & Nina Siemaszko & Joe Mantegna & David Arquette & Ernie Hudson & Michael Richards & Marshall Bell & Harold Ramis
Babysitting 2,2015,10, 1h 33m,Comedy,Philippe Lacheau & Nicolas Benamou,Philippe Lacheau & Alice David & Vincent Desagnat & Tarek Boudali & Christian Clavier & Julien Arruti & Charlotte Gabris & Valériane de Villeneuve & Élodie Fontan & Jérôme Commandeur & Joséphine Drai & Elisa Bachir Bey & Aílton Carmo & Kunue Paje & Porfirio Rocha & Beto Benitez & Valérie Karsenti & Jean-Luc Couchard & Ken Samuels & Chanel Hoxha
Teen Wolf,1985,PG, 1h 31m,Comedy & Fantasy & Romance,Rod Daniel,Michael J. Fox & James Hampton & Susan Ursitti & Jerry Levine & Matt Adler & Lorie Griffin & Jim McKrell & Mark Arnold & Jay Tarses & Mark Holton & Scott Paulin & Elizabeth Gorcey & Melanie Manos & Doug Savant & Charles Zucker & Lynda Wiesmeier & Troy Evans
Mary and Max,2009,NR, 1h 32m,Animation & Comedy & Drama,Adam Elliot,Toni Collette & Philip Seymour Hoffman & Eric Bana & Barry Humphries & Bethany Whitmore & Renée Geyer & Ian 'Molly' Meldrum & Julie Forsyth & John Flaus & Christopher Massey & Carolyn Shakespeare-Allen & Michael Ienna & Shaun Patten & Leanne Smith
The Bélier Family,2014,not available, 1h 45m,Comedy & Drama & Music,Eric Lartigau,Louane Emera & Karin Viard & François Damiens & Eric Elmosnino & Roxane Duran & Ilian Bergala & Luca Gelberg & Mar Sodupe & Stéphan Wojtowicz & Jérôme Kircher & Bruno Gomila & Véronique Poulain & Philippe Dusseau & Clémence Lassalas & Melchior Lebeaut & Céline Jorrion & Noël Sorrente
She's Out of My League,2010,R, 1h 44m,Comedy & Romance,Jim Field Smith,Jay Baruchel & Alice Eve & Mike Vogel & Krysten Ritter & Debra Jo Rupp & Lindsay Sloane & Kim Shaw & Geoff Stults & T.J. Miller & Nate Torrence & Kyle Bornheimer & Jasika Nicole & Adam LeFevre & Andrew Daly & Trevor Eve & Sharon Maughan & Adam Tomei & Robin Shorr & Evan Alex Cole & Yan Xi & Rick Applegate & Chuck Aber & Jessica St. Clair & Hayes MacArthur & Patrick Jordan & Tom Stoviak & Heather Morgan Leigh & Jason McCune & Joseph F. Eberle & Mike Gaffney & Jason C. Lewis & Robert R. Bell & Aaron Bernard & Sidney Crosby & Mandy Ekman & Lorelei Mahoney & Christopher Mele & David Santiago & Gaynelle W. Sloman
Safety Not Guaranteed,2012,R, 1h 25m,Comedy & Romance & Science Fiction & Drama,Colin Trevorrow,Aubrey Plaza & Mark Duplass & Jake Johnson & Karan Soni & Jenica Bergere & Kristen Bell & Jeff Garlin & Mary Lynn Rajskub & William Hall Jr. & Tony Doupe & Xola Malik & Kimberly Durham & Grace Arends & Scott Swan & Basil Harris & Tom Ricciardelli & Lynn Shelton & Eli Borozan & Alice Hung
Splash,1984,PG, 1h 51m,Comedy & Fantasy & Romance,Ron Howard,Tom Hanks & Daryl Hannah & Eugene Levy & John Candy & Dody Goodman & Shecky Greene & Richard B. Shull & Bobby Di Cicco & Howard Morris & Lowell Ganz & Babaloo Mandel & Tom Toner & Fred Lerner & Rance Howard & Clint Howard & Migdia Skarsgård Chinea & Eileen Saki & Jodi Long & Victoria Lucas & Amy Ingersoll & Jill Jacobson & Bill Smitrovich & Nancy Raffa & Shayla Mackarvich & April Adams & Ilana Rapp & Lilian Sasson
Ravenous,1999,R, 1h 40m,Horror & Western & Comedy,Antonia Bird,Guy Pearce & Robert Carlyle & David Arquette & Jeremy Davies & Neal McDonough & Stephen Spinella & Joseph Runningfox & Bill Brochtrup & Sheila Tousey & Jeffrey Jones & John Spencer & David Heyman & Tim Van Rellim & Miezi Sungu & Abel Woolrich
The Game Plan,2007,PG, 1h 50m,Comedy & Family,Andy Fickman,Dwayne Johnson & Madison Pettis & Kyra Sedgwick & Roselyn Sánchez & Morris Chestnut & Hayes MacArthur & Brian J. White & Jamal Duff & Paige Turco & Gordon Clapp & Kate Nauta & Robert Torti & Jackie Flynn & Lauren Storm & Thomas Conroy & John Franchi
A Futile and Stupid Gesture,2018,not available, 1h 41m,Comedy,David Wain,Will Forte & Domhnall Gleeson & Martin Mull & Thomas Lennon & Joel McHale & John Gemberling & Matt Walsh & Rick Glassman & Jon Daly & Seth Green & Matt Lucas & Paul Scheer & Lonny Ross & Neil Casey & Armen Weitzman & Jackie Tohn & Natasha Lyonne & Emmy Rossum & Camille Guaty & Elvy Yost & Meera Rohit Kumbhani & Liz Femi & Brian Huskey & Harry Groener & Annette O'Toole & Jeremey Penn & Joe Lo Truglio & Jake Jacobson & Erv Dahl & Jack Andrew Cook & Andrew Gray McDonnell & Lindsey Kraft & Martha Smith & Lauryn Morse & Ben F. Campbell & James Bearb & Vivienne Taylor & Sean Leo & Bob Stephenson & Garrett Boyd & Jon Klaft & Paige Flannery & Sandra Rosko & Tim Seitter & Gina Greschner & Kerri Kenney-Silver & Gregg Turkington & Steven Sims & Allyson Nicole Jones & Bambadjan Bamba & Beau Bassewitz & Christopher Arminio & Abigail Klein & Christina Miller & T.C. Daniels & Dallas Ryan & David Sampen & Ed Helms & Paul Rudd & Rich Sommer & David Krumholtz & Mitchell Hurwitz & David Wain & Finn Wittrock & Max Greenfield & Frank Gingerich & Morgan Gingerich & Carla Gallo & Brad Morris & Rick Overton & Mark Metcalf & Michael Sherman & Krister Johnson & Nelson Franklin
Small Soldiers,1998,PG-13, 1h 50m,Comedy & Adventure & Fantasy & Science Fiction & Action,Joe Dante,Gregory Smith & Kirsten Dunst & Denis Leary & Phil Hartman & David Cross & Jay Mohr & Kevin Dunn & Ann Magnuson & Wendy Schaal & Jacob Smith & Tommy Lee Jones & Frank Langella & Ernest Borgnine & Jim Brown & Bruce Dern & George Kennedy & Clint Walker & Christopher Guest & Michael McKean & Harry Shearer & Sarah Michelle Gellar & Christina Ricci & Dick Miller & Belinda Balaski
Father of the Bride Part II,1995,PG, 1h 46m,Comedy,Charles Shyer,Steve Martin & Diane Keaton & Martin Short & Kimberly Williams-Paisley & George Newbern & Kieran Culkin & BD Wong & Peter Michael Goetz & Kate McGregor-Stewart & Jane Adams & Eugene Levy & Lori Alan
The Naked Gun 2½: The Smell of Fear,1991,PG-13, 1h 25m,Comedy & Crime,David Zucker,"Leslie Nielsen & Priscilla Presley & George Kennedy & O.J. Simpson & Robert Goulet & Richard Griffiths & Jacqueline Brookes & Anthony James & Lloyd Bochner & Tim O'Connor & Peter Mark Richman & Ed Williams & Peter Van Norden & Gail Neely & Mel Tormé & Zsa Zsa Gábor & ""Weird Al"" Yankovic & Gina Mastrogiacomo & David Zucker"
Sex and the City,2008,R, 2h 25m,Comedy & Drama & Romance,Michael Patrick King,Sarah Jessica Parker & Kim Cattrall & Cynthia Nixon & Kristin Davis & Chris Noth & Willie Garson & David Eigenberg & Evan Handler & Jennifer Hudson & Jason Lewis & Mario Cantone & Julie Halston & Lynn Cohen & Anne Meara & Candice Bergen & Lil' Kim & Alexandra Fong & Joseph Pupo & Gilles Marini & Kerry Bishé & Bridget Regan & Amanda Setton & Rick Aiello & Annaleigh Ashford & Gilbert Cruz
Animal House,1978,R, 1h 49m,Comedy,John Landis,John Belushi & Tim Matheson & John Vernon & Verna Bloom & Tom Hulce & Cesare Danova & Peter Riegert & Mary Louise Weller & Stephen Furst & James Widdoes & Bruce McGill & Mark Metcalf & DeWayne Jessie & Karen Allen & James Daughton & Martha Smith & Sarah Holcomb & Lisa Baur & Kevin Bacon & Donald Sutherland & Douglas Kenney & Chris Miller & Bruce Bonnheim & Joshua Daniel & Sunny Johnson & Stacy Grooman & Eliza Roberts & Aseneth Jurgenson & Katherine Denning & Raymone Robinson & Robert Elliott & Reginald Farmer & Jebidiah R. Dumas & Priscilla Lauris & Rick Eby & John Freeman & Sean McCartin & Helen Vick & Rick Greenough & Stephen Bishop & John Landis
Tower Heist,2011,PG-13, 1h 44m,Action & Comedy,Brett Ratner,Ben Stiller & Eddie Murphy & Casey Affleck & Alan Alda & Matthew Broderick & Téa Leoni & Michael Peña & Judd Hirsch & Gabourey Sidibe & Stephen Henderson & Nina Arianda & Marcia Jean Kurtz & Juan Carlos Hernández & Harry O'Reilly & James Colby & Peter Van Wagner & Zeljko Ivanek & Robert Downey Sr. & Clem Cheung & Annika Pergament & Lynne Rossetto Kasper & Kate Upton & Jessica Szohr & Judianny Compres & Veronika Korvin & Johnny Tran & Julie T. Pham & Bojun Wang & Spencer Malnik & Nathan Asher Malnik & Jarod Malnik & Christina Jacquelyn Calph & Kevin Pariseau & Desmin Borges & Omar Nicodemo & Brian Distance & Village & Les Papp II & Christopher Rivaro & Craig Castaldo & Heavy D & Robert Clohessy & Paul Hickert & Kelvin Davis & Christopher Breslin & Ty Jones & Ted Lochwyn & Troy Hall & Juanita Howard & Monika Plocienniczak & Frank Pesce & Bob Roseman & Alix Cross & Skyler Wright & Barbara Vincent
Charming,2018,G, 1h 30m,Comedy & Music & Family & Animation,Ross Venokur,Ashley Tisdale & Avril Lavigne & G.E.M. & Wilmer Valderrama & Demi Lovato & Sia & Nia Vardalos & John Cleese & Dee Bradley Baker & Jim Cummings & Carlos Alazraqui & Tara Strong & Tom Kenny & Steve Aoki & Jillian Bell & Stephanie Lemelin & Eric Lopez & Dallas Lovato & Edie Mirman & Michelle Ruff
Veronica Mars,2014,PG-13, 1h 47m,Comedy & Drama & Crime,Rob Thomas,Kristen Bell & Jason Dohring & Enrico Colantoni & Chris Lowell & Percy Daggs III & Tina Majorino & Krysten Ritter & Martin Starr & Gaby Hoffmann & Andrea Estella & Jerry O'Connell & Francis Capra & Ryan Hansen & Brandon Hillock & Maury Sterling & Sam Huntington & Max Greenfield & Daran Norris & Amanda Noret & Jonathan Chesner & Christiann Castellanos & Eden Sher & Christine Lakin & Lisa Thornhill & Charles Latibeaudiere & Harvey Levin & Adam Johnson & Ira Glass & Alejandro Escovedo & Larry Bates & Matthew Arkin & Dave Allen & Eddie Jemison & Alex Poncio & Helen Slayton-Hughes & Patrick Cox & Ryan Lane & Ingo Neuhaus & Jessica Camacho & Meredith Eaton & Robert Hallak & Jamie Lee Curtis & Dax Shepard & Jeremy Fitzgerald & Dorian Kingi & Ken Marino & Kevin Sheridan & Duane Daniels & Mario Ardila Jr. & Justin Long & James Franco & Filip Watermann & Akiko Morison
Cursed,2005,PG-13, 1h 37m,Horror & Comedy,Wes Craven,Christina Ricci & Jesse Eisenberg & Milo Ventimiglia & Judy Greer & Portia de Rossi & Joshua Jackson & Mýa & Shannon Elizabeth & Kristina Anapau & Daniel Edward Mora & Jonny Acker & Eric Ladin & Derek Mears & Nick Offerman & Ken Rudulph & El Solar & Michelle Krusiec & Scott Baio & Shashawnee Hall & Craig Kilborn & Emilie Odeile & Lance Bass & Egan Friedlander & Randolph LeRoi & Brian Boone & Gary Dubin & Chris Johnson & Wilmer Calderon & Brett Rickaby & Doug Berry & Erik Rodham Clinton & Brandon Cox & Jason Cox & Jason Dottley & John Embry & Jason Aaron Goldberg & Tanja Kindler & Bill Mehlem & Gregory Nicotero & Jason Pierce & Hans Raith & Johnny Ray & Jaret Reddick & Joseph D. Reitman & Michael Rosenbaum & Brian Rueter & Christopher Van Malmsteen & Gary Wiseass & Rachel Zeskind
Taxi 2,2000,not available, 1h 22m,Action & Comedy,Gérard Krawczyk,Samy Naceri & Frédéric Diefenthal & Marion Cotillard & Emma Wiklund & Bernard Farcy & Jean-Christophe Bouvet & Frédérique Tirmont & Marc Faure & Haruhiko Hirata & Tsuyu Shimizu & Ko Suzuki & Yoshi Oida & Kentaro & Edouard Montoute & Jean-Luc Borras & Hiro Uchiyama & Onochi Seietsu & François Cottrelle & Tewhik Behar & Jean-Louis Schlesser & Henri Magne & Michel Muller & Miren Pradier & Richard Guedj & Sébastien Thiery & Cyril Raffaelli & François Nguyen & Louis-Marie Nyee & David Moulin & Jean-Luc Mehler & Jean-François Regazzi & Dominique Chevalier & Franck Maigne & Hiroyuki Yanagisawa & Emile Gerard & Nicky Naudé & Shirley Bousquet & Jean-Claude Houbart & Christophe Gorlier & Maïdi Roth & Philippe du Janerand & Eric Challier & Jacques Buron & Stephane Aizac & Sébastien Pons & Malek Bechar & Michel Elias & Pierre Brichese & Fedele Papalia & Châu Belle Dinh & Williams Belle & Guylain N'Guba-Boyeke & Malik Diouf & Charles Perrière & Laurent Piemontesi & Yann Hnautra
The Rundown,2003,PG-13, 1h 44m,Adventure & Action & Comedy & Thriller,Peter Berg,"Dwayne Johnson & Seann William Scott & Rosario Dawson & Christopher Walken & Ernie Reyes, Jr. & Ewen Bremner & Jon Gries & William Lucking & Stuart F. Wilson & Dennis Keiffer & Garrett Warren & Toby Holguin & Stephen Bishop & Paul S. Power & Chuck Norman & Jamal Duff & John Duff & Jeff Chase & Price Jackson & Anthony Diaz-Perez & Arnold Schwarzenegger"
Help! I'm A Fish,2000,not available, 1h 20m,Adventure & Animation & Comedy,Stefan Fjeldmark & Greg Manwaring & Michael Hegner,Alan Rickman & Terry Jones & Paprika Steen & Morten Kern Nielsen & Aaron Paul & Jeff Pace & David Bateson & Louise Fribo & Teryl Rothery & Pauline Newstone
Blue Jasmine,2013,PG-13, 1h 38m,Comedy & Drama,Woody Allen,Cate Blanchett & Alec Baldwin & Sally Hawkins & Bobby Cannavale & Louis C.K. & Peter Sarsgaard & Andrew Dice Clay & Michael Stuhlbarg & Alden Ehrenreich & Charlie Tahan & Max Casella & Tammy Blanchard & Martin Cantu & Daniel Jenks & Max Rutherford & Ali Fedotowsky & Joe Bellan & Diane Amos
Stuart Little 3: Call of the Wild,2005,G, 1h 12m,Fantasy & Animation & Comedy & Family,Audu Paden,Michael J. Fox & Geena Davis & Hugh Laurie & Wayne Brady & Virginia Madsen
Animals United,2010,G, 1h 33m,Animation & Family & Comedy,Reinhard Klooss & Holger Tappe,Christoph Maria Herbst & Ralf Schmitz & Thomas Fritsch & Bastian Pastewka & Oliver Kalkofe & Nana Spier & Constantin von Jascheroff
The Ugly Truth,2009,R, 1h 36m,Comedy & Romance,Robert Luketic,Katherine Heigl & Gerard Butler & Eric Winter & Bree Turner & Nick Searcy & Jesse D. Goins & Cheryl Hines & John Michael Higgins & Noah Matthews & Bonnie Somerville & John Sloman & Yvette Nicole Brown & Nate Corddry & Allen Maldonado & Steve Little & Dan Callahan & Tess Parker & Arielle Vandenberg & Kevin Connolly & Rocco DiSpirito & Valente Rodriguez & Jamison Yang & Blake Robbins & Tom Virtue & Adam J. Harrington & J. Claude Deering & Alexis Krause & Craig Ferguson & Jade Marx-Berti & Mimi Michaels & Earl Carroll & Marc D. Wilson & Jeff Newburg & Ryan Surratt & Vicki Lewis & Yolanda Pecoraro & Brooke Stone & Stephanie Mace & Ashley Ausburn & Kevin Bangos & Melinda Bennett & April Betts & Skyler Caleb & Adam Clark & Sandra Daubert & Sabrina Diaz & Kim Donovan & Christina Gabrielle & Steven Galarce & Jerald Garner & Lejla Hadzimuratovic & Justin Rodgers Hall & Stephen Hansen & James Howarth & Alexandra Nicole Hulme & Courtney Kocak & Bruna Matsin & Tina Mayer & Taylor McCluskey & Erin Micklow & Bob Morrisey & Barnett O'Hara & Shanna Olson & Sandra Plazinic & Calo Rodriguez & Ashton Shane & Anthony Simone & Rich Skidmore & Chris Spinelli & John Summers & Holly Weber & Tracy Weisert & Tamara Witmer & Carolina Zaballa
Absolutely Anything,2015,R, 1h 25m,Comedy & Science Fiction,Terry Jones,Simon Pegg & Kate Beckinsale & Rob Riggle & Sanjeev Bhaskar & Joanna Lumley & Marianne Oldham & Eddie Izzard & Robert Bathurst & Judy Loe & Brian Cox & Meera Syal & Emma Pierson & David Annen & Mairi McHaffie & Gavin Scott & Robin Williams & John Cleese & Terry Gilliam & Eric Idle & Terry Jones & Michael Palin & Alexa Davies & Neville Phillips & Ronan Summers & Jud Charlton & James Kermack
"The Rich, the Pauper and the Butler",2014,T, 1h 42m,Comedy,Morgan Bertacca & Giacomo Poretti & Giovanni Storti & Aldo Baglio,Aldo Baglio & Giovanni Storti & Giacomo Poretti & Giuliana Lojodice & Francesca Neri & Sara D'Amario & Massimo Popolizio & Rosalia Porcaro & Guadalupe Lancho & Pietro Sarubbi & Giovanni Esposito & Christian Ginepro & Chiara Sani & Lorenzo Covello & Chiara Carlotta Leonetti & Giorgio Centamore & Valentina Bardi & Daniela Vecchi & Andrea Ramilli & Federica Famea & Marco Merlini & Cesare Gallarini
Lars and the Real Girl,2007,PG-13, 1h 46m,Comedy & Drama & Romance,Craig Gillespie,Ryan Gosling & Emily Mortimer & Paul Schneider & Kelli Garner & Patricia Clarkson & Lauren Ash & R. D. Reid & Nancy Beatty & Doug Lennox & Joe Bostick & Liz Gordon & Nicky Guadagni & Karen Robinson & Maxwell McCabe-Lokos & Billy Parrott & Boyd Banks & Alec McClure & Sally Cahill & Angela Vint & Liisa Repo-Martell & Darren Hynes & Víctor Gómez & Tommy Chang & Arnold Pinnock & Joshua Peace & Aurora Browne & Tannis Burnett & Lindsey Connell & Aaron Ferguson & Danna Howe & Annabelle Torsein & Tim Blake & Torquil Colbo
